"ID_ITEM","PRODUCT","CATEGORY"
"11831","ITEM 11831","KITCHEN"
"11832","ITEM 11832","KITCHEN"
"11834","ITEM 11834","HEALTH"
"11835","ITEM 11835","KITCHEN"
"11836","ITEM 11836","KITCHEN"
"11837","ITEM 11837","KITCHEN"
"11838","ITEM 11838","BEAUTY"
"11839","ITEM 11839","BEAUTY"
"11840","ITEM 11840","OTHERS"
"11841","ITEM 11841","OTHERS"
"11842","ITEM 11842","OTHERS"
"11843","ITEM 11843","HOME"
"11844","ITEM 11844","HOME"
"11845","ITEM 11845","HEALTH"
"11846","ITEM 11846","OTHERS"
"11847","ITEM 11847","KITCHEN"
"11848","ITEM 11848","HOME"
"11829","ITEM 11829","KITCHEN"
"11830","ITEM 11830","KITCHEN"
"121594","ITEM 121594","KITCHEN"
"122610","ITEM 122610","OTHERS"
"11849","ITEM 11849","SPORTS"
"11850","ITEM 11850","SPORTS"
"11851","ITEM 11851","SPORTS"
"11969","ITEM 11969","KITCHEN"
"11970","ITEM 11970","KITCHEN"
"11971","ITEM 11971","KITCHEN"
"11972","ITEM 11972","HEALTH"
"11973","ITEM 11973","KITCHEN"
"11974","ITEM 11974","BEAUTY"
"11975","ITEM 11975","OTHERS"
"11976","ITEM 11976","OTHERS"
"11977","ITEM 11977","OTHERS"
"11978","ITEM 11978","HOME"
"11979","ITEM 11979","OTHERS"
"11980","ITEM 11980","HEALTH"
"11981","ITEM 11981","OTHERS"
"11982","ITEM 11982","ELECTRONICS"
"11984","ITEM 11984","HOME"
"11985","ITEM 11985","OTHERS"
"11986","ITEM 11986","KITCHEN"
"11987","ITEM 11987","OTHERS"
"11852","ITEM 11852","SPORTS"
"11968","ITEM 11968","KITCHEN"
"11988","ITEM 11988","KITCHEN"
"11989","ITEM 11989","KITCHEN"
"15047","ITEM 15047","OTHERS"
"15048","ITEM 15048","OTHERS"
"15049","ITEM 15049","OTHERS"
"15050","ITEM 15050","OTHERS"
"12061","ITEM 12061","ELECTRONICS"
"12062","ITEM 12062","BEAUTY"
"12063","ITEM 12063","HOME"
"12064","ITEM 12064","ELECTRONICS"
"12065","ITEM 12065","ELECTRONICS"
"12066","ITEM 12066","HOME"
"12067","ITEM 12067","HOME"
"12068","ITEM 12068","HOME"
"12069","ITEM 12069","HOME"
"12070","ITEM 12070","ELECTRONICS"
"12071","ITEM 12071","ELECTRONICS"
"12072","ITEM 12072","ELECTRONICS"
"12073","ITEM 12073","ELECTRONICS"
"12074","ITEM 12074","KITCHEN"
"12075","ITEM 12075","OTHERS"
"12076","ITEM 12076","OTHERS"
"12077","ITEM 12077","OTHERS"
"12078","ITEM 12078","HOME"
"11990","ITEM 11990","HOME"
"12060","ITEM 12060","KITCHEN"
"12079","ITEM 12079","KITCHEN"
"12080","ITEM 12080","KITCHEN"
"12081","ITEM 12081","OTHERS"
"12107","ITEM 12107","ELECTRONICS"
"122611","ITEM 122611","OTHERS"
"12108","ITEM 12108","ELECTRONICS"
"12109","ITEM 12109","ELECTRONICS"
"12110","ITEM 12110","ELECTRONICS"
"12111","ITEM 12111","ELECTRONICS"
"12112","ITEM 12112","HOME"
"12113","ITEM 12113","ELECTRONICS"
